Model,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,Test R2
Tuned Random Forest,25.51125170657148,41.78541146281101,48.41224807590299,72.66015505555346,0.7818102603298487,0.514837975864354
Random Forest,41.77056237386628,44.3881255780483,75.6461599646272,78.75618153392011,0.46728172257924805,0.43001495447583615
Ridge Regression,45.330934359664084,45.74181235580208,80.05357346599712,80.03957138049451,0.40339722395066024,0.41128694413192646
Extra Trees,45.06562951834165,46.26507553636706,80.93555339370309,81.98733297058293,0.39017881845414093,0.3822856691947605
